#;DATE;TYPE;NAME;PLATFORM;PRICE
1;44203;Game;Crying Suns;Epic Games Store;21,99
2;44210;Game;STAR WARS™ Battlefront™ II: Édition Célébration;Epic Games Store;39,99
3;44217;Game;Galactic Civilizations III;Epic Games Store;20,99
4;44224;Game;Dandara: Trials of Fear Edition;Epic Games Store;14,49
5;44226;Game;Ultimate Epic Battle Simulator;Steam;12,49
6;44231;Game;Wargame: Red Dragon;Epic Games Store;29,99
7;44232;Game;For The King;Epic Games Store;19,99
8;44232;Game;Metro: Last Light Redux;Epic Games Store;19,99
9;44232;DLC;World of Warships — Exclusive Starter Pack;Steam;20,99
10;44236;Game;Assassin's Creed Chronicles - China;Ubisoft Store;9,99
11;44238;Game;Halcyon 6: Starbase Commander;Epic Games Store;14,99
12;44245;Game;Absolute Drift;Epic Games Store;9,99
13;44245;Game;Rage 2;Epic Games Store;39,99
14;44252;Game;Sunless Sea;Epic Games Store;14,49
15;44255;Game;Black Desert Online;Steam;9,99
16;44258;Game;Ratchet & Clank™;PlayStation Store;19,99
17;44266;Game;Surviving Mars;Epic Games Store;29,99
18;44267;Game;Metro 2033;Steam;19,99
19;44273;Game;The Fall;Epic Games Store;7,99
20;44280;Game;Red Wings: Aces of the Sky;Epic Games Store;16,79
21;44280;Game;Creature in the Well;Epic Games Store;12,49
22;44280;Game;ASTRO BOT Rescue Mission™;PlayStation Store;39,99
23;44280;Game;Moss™;PlayStation Store;29,99
24;44280;Game;Thumper;PlayStation Store;19,99
25;44280;Game;Paper Beast;PlayStation Store;29,99
26;44280;Game;Subnautica;PlayStation Store;29,99
27;44280;Game;Rez Infinite;PlayStation Store;29,99
28;44280;Game;ABZÛ;PlayStation Store;19,99
29;44280;Game;The Witness;PlayStation Store;36,99
30;44280;Game;Enter the Gungeon;PlayStation Store;14,99
31;44286;Game;XIII;GOG.com;5,99
32;44287;Game;Tales of the Neon Sea;Epic Games Store;13,99
33;44288;Game;Steel Rats™;Steam;9,99
34;44294;Game;3 out of 10: Season Two;Epic Games Store;0
35;44301;Game;Deponia: The Complete Journey;Epic Games Store;29,99
36;44301;Game;Ken Follett's The Pillars of the Earth;Epic Games Store;29,99
37;44301;Game;The First Tree;Epic Games Store;9,99
38;44307;Game;Horizon Zero Dawn™ Complete Edition;PlayStation Store;19,99
39;44308;Game;Alien: Isolation;Epic Games Store;36,99
40;44308;Game;Hand of Fate 2;Epic Games Store;23,99
41;44309;Game;Quiplash;Steam;9,99
42;44312;DLC;Idle Champions of the Forgotten Realms;Epic Games Store;100
43;44316;Game;Tonight We Riot;GOG.com;12,49
44;44320;Game;Nubarron: The adventure of an unlucky gnome;Steam;8,19
45;44322;Game;Pine;Epic Games Store;20,99
46;44329;Game;The Lion's Song;Epic Games Store;7,99
47;44336;Game;NBA 2K21;Epic Games Store;59,99
48;44343;Game;Among Us;Epic Games Store;3,99
49;44345;Game;Little Nightmares;Steam;19,99
50;44348;Game;Tell Me Why: Chapitre 1-3;Microsoft Store;19,99
51;44350;Game;Frostpunk;Epic Games Store;27,99
52;44351;Game;Warhammer Underworlds: Online;Steam;8,99
53;44356;Game;Museum of Other Realities;Steam;16,79
54;44357;Game;Control;Epic Games Store;31,99
55;44358;Game;Surviving Mars - Deluxe Edition;Humble Bundle / Steam;39,99
56;44360;Game;Titan Souls;Steam;14,99
57;44361;Game;Hellpoint;GOG.com;29,99
58;44364;Game;Hell is Other Demons;Epic Games Store;7,99
59;44364;Game;Overcooked! 2;Epic Games Store;22,99
60;44364;Game;Absolute Drift;GOG.com;11,99
61;44370;Game;ARMA: Cold War Assault;Steam;3,99
62;44370;Game;The Witcher: Enhanced Edition;GOG.com;8,29
63;44371;Game;Sonic Mania;Epic Games Store;19,99
64;44371;Game;Horizon Chase Turbo;Epic Games Store;15,99
65;44373;Game;Shadowrun Trilogy;GOG.com;69,95
66;44378;Game;The Spectrum Retreat;Epic Games Store;12,99
67;44385;Game;Bridge Constructor: The Walking Dead;Epic Games Store;9,99
68;44385;Game;Ironcast;Epic Games Store;12,99
69;44391;Game;Syberia I & II;GOG.com;25,98
70;44392;Game;Obduction;Epic Games Store;23,99
71;44392;Game;Offworld Trading Company;Epic Games Store;29,99
72;44399;Game;Defense Grid: The Awakening;Epic Games Store;7,99
73;44399;Game;Verdun;Epic Games Store;17,5
74;44406;Game;Mothergunship;Epic Games Store;23,99
75;44406;Game;Train Sim World® 2;Epic Games Store;29,99
76;44407;Game;Wanderlust: Transsiberian;GOG.com;3,99
77;44413;Game;A Plague Tale: Innocence;Epic Games Store;39,99
78;44413;Game;Minit;Epic Games Store;9,99
79;44420;Game;Rebel Galaxy;Epic Games Store;15,99
80;44427;Game;Void Bastards;Epic Games Store;27,99
81;44427;Game;Yooka Laylee;Epic Games Store;39,99
82;44434;Game;Saints Row®: The Third™ Remastered;Epic Games Store;39,99
83;44434;Game;Automachef;Epic Games Store;14,99
84;44441;Game;Yoku's Island Express;Epic Games Store;19,99
85;44447;Game;Surviving Mars;Steam;29,99
86;44447;Game;Far Cry 3;Ubisoft Store;19,99
87;44448;Game;Nioh: The Complete Edition;Epic Games Store;49,99
88;44448;Game;Sheltered;Epic Games Store;14,99
89;44455;Game;Speed Brawl;Epic Games Store;16,79
90;44455;Game;Tharsis;Epic Games Store;11,99
91;44455;Game;Jagged Alliance 1: Gold Edition;Steam;9,99
92;44455;Game;Titan Quest Anniversary Edition;Steam;19,99
93;44462;Game;The Escapists;Epic Games Store;14,99
94;44465;Game;Banana Hell;Steam;2,39
95;44469;Game;Europa Universalis IV;Epic Games Store;31,99
96;44475;Game;Tom Clancy’s Ghost Recon;Ubisoft Store;9,99
97;44476;Game;PC Building Simulator;Epic Games Store;15,99
98;44483;DLC;Paladins - Epic pack;Epic Games Store;34,99
99;44483;Game;Stubbs the Zombie in Rebel Without a Pulse;Epic Games Store;15,99
100;44490;Game;Among the Sleep - Enhanced Edition;Epic Games Store;13,99
101;44497;Game;DARQ: Complete Edition;Epic Games Store;16,79
102;44504;Game;Aven Colony;Epic Games Store;29,99
103;44509;Game;Assassin's Creed Chronicles Trilogy;Ubisoft Store;24,99
104;44510;Game;KEO;Steam;19,99
105;44510;Game;Beholder;Steam;9,99
106;44511;Game / DLC;Tiny Tina et la Forteresse du Dragon : Une aventure merveilleuse;Epic Games Store;9,99
107;44517;Game;Tom Clancy's Splinter Cell Chaos Theory;Ubisoft Store;9,99
108;44518;Game;Guild of Dungeoneering;Epic Games Store;11,99
109;44518;Game;KID A MNESIA EXHIBITION;Epic Games Store;0
110;44518;Game;Never Alone (Kisima Ingitchuna);Epic Games Store;11,99
111;44525;DLC;Antstream - Epic Welcome Pack;Epic Games Store;0
112;44525;Game;theHunter: Call of the Wild™;Epic Games Store;19,99
113;44532;Game;while True: learn ();Epic Games Store;9,99
114;44532;Game;Dead by Daylight;Epic Games Store;19,99
115;44537;Game;Anno 1404 History Edition;Ubisoft Store;14,99
116;44539;Game;Godfall Challenger Edition;Epic Games Store;14,99
117;44539;Game;Prison Architect;Epic Games Store;24,99
118;44540;Game;Call of Juarez: Gunslinger;Steam;12,49
119;44543;Game;Shadow Tactics: Blades of the Shogun;GOG.com;39,99
120;44544;Game;Rayman Origins;Ubisoft Store;9,99
121;44546;Game;Shenmue 3;Epic Games Store;29,99
122;44547;Game;Neon Abyss;Epic Games Store;19,99
123;44548;Game;Remnant: From the Ashes;Epic Games Store;39,99
124;44549;Game;The Vanishing of Ethan Carter;Epic Games Store;19,99
125;44550;Game;Loop Hero;Epic Games Store;14,99
126;44551;Game;Second Extinction™;Epic Games Store;24,99
127;44552;Game;Mutant Year Zero: Road to Eden;Epic Games Store;34,99
128;44553;Game;Vampyr;Epic Games Store;39,99
129;44554;Game;Pathfinder: Kingmaker - Enhanced Plus Edition;Epic Games Store;19,99
130;44555;Game;Prey;Epic Games Store;39,99
131;44556;Game;Control;Epic Games Store;31,99
132;44557;Game;Mages of Mystralia;Epic Games Store;15,99
133;44558;Game;Moving Out;Epic Games Store;22,99
134;44559;Game;Salt and Sanctuary;Epic Games Store;13,99
135;44560;Game;Rise of the Tomb Raider: 20 Year Celebration;Epic Games Store;29,99
136;44560;Game;Shadow of the Tomb Raider: Definitive Edition;Epic Games Store;39,99
137;44560;Game;Tomb Raider Game Of The Year;Epic Games Store;19,99
138;44561;Game;Metro: Last Light Redux;GOG.com;19,99
